timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1670628784624,607,JDBC Request,200,OK,JDBC users 1-6,text,true,,151,0,10,10,null,600,0,575
1670628784322,908,JDBC Request,200,OK,JDBC users 1-3,text,true,,151,0,10,10,null,902,0,878
1670628785006,224,JDBC Request,200,OK,JDBC users 1-10,text,true,,151,0,10,10,null,218,0,196
1670628784414,817,JDBC Request,200,OK,JDBC users 1-4,text,true,,151,0,10,10,null,810,0,785
1670628784220,1010,JDBC Request,200,OK,JDBC users 1-2,text,true,,151,0,10,10,null,1004,0,979
1670628784714,516,JDBC Request,200,OK,JDBC users 1-7,text,true,,151,0,10,10,null,510,0,486
1670628784149,1079,JDBC Request,200,OK,JDBC users 1-1,text,true,,151,0,10,10,null,1075,0,1050
1670628784508,723,JDBC Request,200,OK,JDBC users 1-5,text,true,,151,0,10,10,null,716,0,691
1670628785233,10,Insert walmart store,200,OK,JDBC users 1-4,text,true,,9,0,10,10,null,10,0,0
1670628785233,10,Insert walmart store,200,OK,JDBC users 1-7,text,true,,9,0,10,10,null,10,0,0
1670628784812,436,JDBC Request,200,OK,JDBC users 1-8,text,true,,151,0,10,10,null,433,0,387
1670628784912,337,JDBC Request,200,OK,JDBC users 1-9,text,true,,151,0,10,10,null,333,0,287
1670628785250,2,Insert walmart store,200,OK,JDBC users 1-3,text,true,,9,0,10,10,null,2,0,0
1670628785251,1,Insert walmart store,200,OK,JDBC users 1-10,text,true,,9,0,10,10,null,1,0,0
1670628785250,3,Insert walmart store,200,OK,JDBC users 1-5,text,true,,9,0,10,10,null,2,0,0
1670628785251,2,Insert walmart store,200,OK,JDBC users 1-9,text,true,,9,0,10,10,null,2,0,0
1670628785250,4,Insert walmart store,200,OK,JDBC users 1-6,text,true,,9,0,10,10,null,4,0,0
1670628785251,3,Insert walmart store,200,OK,JDBC users 1-1,text,true,,9,0,10,10,null,3,0,0
1670628785250,5,Insert walmart store,200,OK,JDBC users 1-2,text,true,,9,0,10,10,null,5,0,0
1670628785250,5,Insert walmart store,200,OK,JDBC users 1-8,text,true,,9,0,10,10,null,5,0,0
1670628785250,25,delete walmart store,200,OK,JDBC users 1-4,text,true,,9,0,10,10,null,25,0,0
1670628785250,31,delete walmart store,200,OK,JDBC users 1-7,text,true,,9,0,10,10,null,31,0,0
1670628785252,33,delete walmart store,200,OK,JDBC users 1-10,text,true,,9,0,10,10,null,33,0,0
1670628785252,39,delete walmart store,200,OK,JDBC users 1-3,text,true,,9,0,10,10,null,39,0,0
1670628785253,42,delete walmart store,200,OK,JDBC users 1-5,text,true,,9,0,10,10,null,42,0,0
1670628785253,46,delete walmart store,200,OK,JDBC users 1-9,text,true,,9,0,10,10,null,46,0,0
1670628785255,49,delete walmart store,200,OK,JDBC users 1-1,text,true,,9,0,10,10,null,49,0,0
1670628785255,53,delete walmart store,200,OK,JDBC users 1-6,text,true,,9,0,10,10,null,53,0,0
1670628785292,17,Debug Sampler,200,OK,JDBC users 1-3,text,true,,857,0,10,10,null,0,0,0
1670628785302,8,Debug Sampler,200,OK,JDBC users 1-9,text,true,,857,0,10,10,null,0,0,0
1670628785290,20,Debug Sampler,200,OK,JDBC users 1-10,text,true,,858,0,10,10,null,0,0,0
1670628785308,1,Debug Sampler,200,OK,JDBC users 1-1,text,true,,858,0,10,10,null,0,0,0
